Plugin ID,CVE_x,CVSS,Risk,Host,Port,CVSS.1,弱點名稱,問題描述,建議解決方式,CVE_y,CVSS v2.0 Base Score,Protocol,Name,Synopsis,Description,Solution,See Also,Plugin Output
20007,,5.8,Critical,192.168.110.241,443,5.8,SSL Version 2 and 3 Protocol Detection,主機上的服務支援使用SSLv2或SSLv3進行加密連線。 相關資訊：192.168.110.241:443。,建議變更相關網路服務設定值，使加密連線僅允許支援TLS 1.2以上。,,10,tcp,SSL Version 2 and 3 Protocol Detection,"The remote service encrypts traffic using a protocol with known
weaknesses.","The remote service accepts connections encrypted using SSL 2.0 and/or
SSL 3.0. These versions of SSL are affected by several cryptographic
flaws, including:

  - An insecure padding scheme with CBC ciphers.

  - Insecure session renegotiation and resumption schemes.

An attacker can exploit these flaws to conduct man-in-the-middle
attacks or to decrypt communications between the affected service and
clients.

Although SSL/TLS has a secure means for choosing the highest supported
version of the protocol (so that these versions will be used only if
the client or server support nothing better), many web browsers
implement this in an unsafe way that allows an attacker to downgrade
a connection (such as in POODLE). Therefore, it is recommended that
these protocols be disabled entirely.

NIST has determined that SSL 3.0 is no longer acceptable for secure
communications. As of the date of enforcement found in PCI DSS v3.1,
any version of SSL will not meet the PCI SSC's definition of 'strong
cryptography'.","Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.2 (with approved cipher suites) or higher instead.","https://www.schneier.com/academic/paperfiles/paper-ssl.pdf
http://www.nessus.org/u?b06c7e95
http://www.nessus.org/u?247c4540
https://www.openssl.org/~bodo/ssl-poodle.pdf
http://www.nessus.org/u?5d15ba70
https://www.imperialviolet.org/2014/10/14/poodle.html
https://tools.ietf.org/html/rfc7507
https://tools.ietf.org/html/rfc7568","
- SSLv3 is enabled and the server supports at least one cipher.
	Explanation: TLS 1.0 and SSL 3.0 cipher suites may be used with SSLv3


  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    EDH-RSA-DES-CBC3-SHA                           DH            RSA      3DES-CBC(168)          SHA1
    DES-CBC3-SHA                                   RSA           RSA      3DES-CBC(168)          SHA1

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DHE-RSA-AES128-SHA                             DH            RSA      AES-CBC(128)           SHA1
    DHE-RSA-AES256-SHA                             DH            RSA      AES-CBC(256)           SHA1
    AES128-SHA                                     RSA           RSA      AES-CBC(128)           SHA1
    AES256-SHA                                     RSA           RSA      AES-CBC(256)           SHA1
    DHE-RSA-AES128-SHA256                          DH            RSA      AES-CBC(128)           SHA256
    DHE-RSA-AES256-SHA256                          DH            RSA      AES-CBC(256)           SHA256
    RSA-AES128-SHA256                              RSA           RSA      AES-CBC(128)           SHA256
    RSA-AES256-SHA256                              RSA           RSA      AES-CBC(256)           SHA256

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
"
20007,,5.8,Critical,192.168.44.101,443,5.8,SSL Version 2 and 3 Protocol Detection,主機上的服務支援使用SSLv2或SSLv3進行加密連線。 相關資訊：192.168.44.101:443。,建議變更相關網路服務設定值，使加密連線僅允許支援TLS 1.2以上。,,10,tcp,SSL Version 2 and 3 Protocol Detection,"The remote service encrypts traffic using a protocol with known
weaknesses.","The remote service accepts connections encrypted using SSL 2.0 and/or
SSL 3.0. These versions of SSL are affected by several cryptographic
flaws, including:

  - An insecure padding scheme with CBC ciphers.

  - Insecure session renegotiation and resumption schemes.

An attacker can exploit these flaws to conduct man-in-the-middle
attacks or to decrypt communications between the affected service and
clients.

Although SSL/TLS has a secure means for choosing the highest supported
version of the protocol (so that these versions will be used only if
the client or server support nothing better), many web browsers
implement this in an unsafe way that allows an attacker to downgrade
a connection (such as in POODLE). Therefore, it is recommended that
these protocols be disabled entirely.

NIST has determined that SSL 3.0 is no longer acceptable for secure
communications. As of the date of enforcement found in PCI DSS v3.1,
any version of SSL will not meet the PCI SSC's definition of 'strong
cryptography'.","Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.2 (with approved cipher suites) or higher instead.","https://www.schneier.com/academic/paperfiles/paper-ssl.pdf
http://www.nessus.org/u?b06c7e95
http://www.nessus.org/u?247c4540
https://www.openssl.org/~bodo/ssl-poodle.pdf
http://www.nessus.org/u?5d15ba70
https://www.imperialviolet.org/2014/10/14/poodle.html
https://tools.ietf.org/html/rfc7507
https://tools.ietf.org/html/rfc7568","
- SSLv3 is enabled and the server supports at least one cipher.
	Explanation: TLS 1.0 and SSL 3.0 cipher suites may be used with SSLv3


  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    EDH-RSA-DES-CBC3-SHA                           DH            RSA      3DES-CBC(168)          SHA1
    ECDHE-RSA-DES-CBC3-SHA                         ECDH          RSA      3DES-CBC(168)          SHA1

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DHE-RSA-AES128-SHA                             DH            RSA      AES-CBC(128)           SHA1
    DHE-RSA-AES256-SHA                             DH            RSA      AES-CBC(256)           SHA1
    ECDHE-RSA-AES128-SHA                           ECDH          RSA      AES-CBC(128)           SHA1
    ECDHE-RSA-AES256-SHA                           ECDH          RSA      AES-CBC(256)           SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
"
20007,,5.8,Critical,192.168.44.101,9091,5.8,SSL Version 2 and 3 Protocol Detection,主機上的服務支援使用SSLv2或SSLv3進行加密連線。 相關資訊：192.168.44.101:9091。,建議變更相關網路服務設定值，使加密連線僅允許支援TLS 1.2以上。,,10,tcp,SSL Version 2 and 3 Protocol Detection,"The remote service encrypts traffic using a protocol with known
weaknesses.","The remote service accepts connections encrypted using SSL 2.0 and/or
SSL 3.0. These versions of SSL are affected by several cryptographic
flaws, including:

  - An insecure padding scheme with CBC ciphers.

  - Insecure session renegotiation and resumption schemes.

An attacker can exploit these flaws to conduct man-in-the-middle
attacks or to decrypt communications between the affected service and
clients.

Although SSL/TLS has a secure means for choosing the highest supported
version of the protocol (so that these versions will be used only if
the client or server support nothing better), many web browsers
implement this in an unsafe way that allows an attacker to downgrade
a connection (such as in POODLE). Therefore, it is recommended that
these protocols be disabled entirely.

NIST has determined that SSL 3.0 is no longer acceptable for secure
communications. As of the date of enforcement found in PCI DSS v3.1,
any version of SSL will not meet the PCI SSC's definition of 'strong
cryptography'.","Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.2 (with approved cipher suites) or higher instead.","https://www.schneier.com/academic/paperfiles/paper-ssl.pdf
http://www.nessus.org/u?b06c7e95
http://www.nessus.org/u?247c4540
https://www.openssl.org/~bodo/ssl-poodle.pdf
http://www.nessus.org/u?5d15ba70
https://www.imperialviolet.org/2014/10/14/poodle.html
https://tools.ietf.org/html/rfc7507
https://tools.ietf.org/html/rfc7568","
- SSLv3 is enabled and the server supports at least one cipher.
	Explanation: TLS 1.0 and SSL 3.0 cipher suites may be used with SSLv3


  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    EDH-RSA-DES-CBC3-SHA                           DH            RSA      3DES-CBC(168)          SHA1
    ECDHE-RSA-DES-CBC3-SHA                         ECDH          RSA      3DES-CBC(168)          SHA1
    DES-CBC3-SHA                                   RSA           RSA      3DES-CBC(168)          SHA1

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DHE-RSA-AES128-SHA                             DH            RSA      AES-CBC(128)           SHA1
    DHE-RSA-AES256-SHA                             DH            RSA      AES-CBC(256)           SHA1
    ECDHE-RSA-AES128-SHA                           ECDH          RSA      AES-CBC(128)           SHA1
    ECDHE-RSA-AES256-SHA                           ECDH          RSA      AES-CBC(256)           SHA1
    ECDHE-RSA-RC4-SHA                              ECDH          RSA      RC4(128)               SHA1
    AES128-SHA                                     RSA           RSA      AES-CBC(128)           SHA1
    AES256-SHA                                     RSA           RSA      AES-CBC(256)           SHA1
    RC4-SHA                                        RSA           RSA      RC4(128)               SHA1
    DHE-RSA-AES128-SHA256                          DH            RSA      AES-CBC(128)           SHA256
    DHE-RSA-AES256-SHA256                          DH            RSA      AES-CBC(256)           SHA256
    ECDHE-RSA-AES128-SHA256                        ECDH          RSA      AES-CBC(128)           SHA256
    ECDHE-RSA-AES256-SHA384                        ECDH          RSA      AES-CBC(256)           SHA384
    RSA-AES128-SHA256                              RSA           RSA      AES-CBC(128)           SHA256
    RSA-AES256-SHA256                              RSA           RSA      AES-CBC(256)           SHA256

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
"
41028,CVE-1999-0517,7.5,High,192.168.104.201,161,7.5,SNMP Agent Default Community Name (public),裝置上的SNMP伺服器的預設群組名稱可被猜測，值為：public，請參考：CVE-1999-0517。 相關資訊：192.168.104.201:161。,除非有特別需要，建議可關閉此服務，否則對UDP port進入的資料進行過濾或變更預設的SNMP community string。,CVE-1999-0517,7.5,udp,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"It is possible to obtain the default community name of the remote
SNMP server.

An attacker may use this information to gain more knowledge about the
remote host, or to change the configuration of the remote system (if
the default community allows such modifications).","Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",,"
The remote SNMP server replies to the following default community
string :

public"
41028,CVE-1999-0517,7.5,High,192.168.108.211,161,7.5,SNMP Agent Default Community Name (public),裝置上的SNMP伺服器的預設群組名稱可被猜測，值為：public，請參考：CVE-1999-0517。 相關資訊：192.168.108.211:161。,除非有特別需要，建議可關閉此服務，否則對UDP port進入的資料進行過濾或變更預設的SNMP community string。,CVE-1999-0517,7.5,udp,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"It is possible to obtain the default community name of the remote
SNMP server.

An attacker may use this information to gain more knowledge about the
remote host, or to change the configuration of the remote system (if
the default community allows such modifications).","Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",,"
The remote SNMP server replies to the following default community
string :

public"
10245,CVE-1999-0651,7.5,High,192.168.108.240,514,7.5,RSH service vulnerability,主機提供rsh服務，提供使用者遠端登入操作，但該服務本身並未提供加密連線，請參考：CVE-1999-0651。 相關資訊：192.168.108.240:514。,停止不安全的rsh服務。建議遠端維護主機，用SSH等加密連線服務取代。,CVE-1999-0651,7.5,tcp,rsh Service Detection,The rsh service is running on the remote host.,"The rsh service is running on the remote host. This service is
vulnerable since data is passed between the rsh client and server
in cleartext. A man-in-the-middle attacker can exploit this to sniff
logins and passwords. Also, it may allow poorly authenticated logins
without passwords. If the host is vulnerable to TCP sequence number
guessing (from any network) or IP spoofing (including ARP hijacking on
a local network) then it may be possible to bypass authentication.
Finally, rsh is an easy way to turn file-write access into full
logins through the .rhosts or rhosts.equiv files.","Comment out the 'rsh' line in /etc/inetd.conf and restart the inetd
process. Alternatively, disable this service and use SSH instead.",,
41028,CVE-1999-0517,7.5,High,192.168.108.240,161,7.5,SNMP Agent Default Community Name (public),裝置上的SNMP伺服器的預設群組名稱可被猜測，值為：public，請參考：CVE-1999-0517。 相關資訊：192.168.108.240:161。,除非有特別需要，建議可關閉此服務，否則對UDP port進入的資料進行過濾或變更預設的SNMP community string。,CVE-1999-0517,7.5,udp,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"It is possible to obtain the default community name of the remote
SNMP server.

An attacker may use this information to gain more knowledge about the
remote host, or to change the configuration of the remote system (if
the default community allows such modifications).","Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",,"
The remote SNMP server replies to the following default community
string :

public"
41028,CVE-1999-0517,7.5,High,192.168.108.241,161,7.5,SNMP Agent Default Community Name (public),裝置上的SNMP伺服器的預設群組名稱可被猜測，值為：public，請參考：CVE-1999-0517。 相關資訊：192.168.108.241:161。,除非有特別需要，建議可關閉此服務，否則對UDP port進入的資料進行過濾或變更預設的SNMP community string。,CVE-1999-0517,7.5,udp,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"It is possible to obtain the default community name of the remote
SNMP server.

An attacker may use this information to gain more knowledge about the
remote host, or to change the configuration of the remote system (if
the default community allows such modifications).","Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",,"
The remote SNMP server replies to the following default community
string :

public"
41028,CVE-1999-0517,7.5,High,192.168.108.243,161,7.5,SNMP Agent Default Community Name (public),裝置上的SNMP伺服器的預設群組名稱可被猜測，值為：public，請參考：CVE-1999-0517。 相關資訊：192.168.108.243:161。,除非有特別需要，建議可關閉此服務，否則對UDP port進入的資料進行過濾或變更預設的SNMP community string。,CVE-1999-0517,7.5,udp,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"It is possible to obtain the default community name of the remote
SNMP server.

An attacker may use this information to gain more knowledge about the
remote host, or to change the configuration of the remote system (if
the default community allows such modifications).","Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",,"
The remote SNMP server replies to the following default community
string :

public"
10245,CVE-1999-0651,7.5,High,192.168.109.201,514,7.5,RSH service vulnerability,主機提供rsh服務，提供使用者遠端登入操作，但該服務本身並未提供加密連線，請參考：CVE-1999-0651。 相關資訊：192.168.109.201:514。,停止不安全的rsh服務。建議遠端維護主機，用SSH等加密連線服務取代。,CVE-1999-0651,7.5,tcp,rsh Service Detection,The rsh service is running on the remote host.,"The rsh service is running on the remote host. This service is
vulnerable since data is passed between the rsh client and server
in cleartext. A man-in-the-middle attacker can exploit this to sniff
logins and passwords. Also, it may allow poorly authenticated logins
without passwords. If the host is vulnerable to TCP sequence number
guessing (from any network) or IP spoofing (including ARP hijacking on
a local network) then it may be possible to bypass authentication.
Finally, rsh is an easy way to turn file-write access into full
logins through the .rhosts or rhosts.equiv files.","Comment out the 'rsh' line in /etc/inetd.conf and restart the inetd
process. Alternatively, disable this service and use SSH instead.",,
